,i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural,total,under_4,frac_under_4,under_9,frac_under_9
470,471,2000,Metropolitana,0,0,0,0,0,0,1,0,1,2,1,0,1,1,1.945910149,1,7,0,0.0,0,0.0
471,472,2000,Metropolitana,1,0,0,1,1,0,0,0,1,1,1,0,2,1,2.197224577,1,9,1,0.1111111111111111,2,0.2222222222222222
472,473,2000,Metropolitana,0,1,0,2,0,0,0,0,0,1,1,0,0,0,1.609437912,1,5,1,0.2,3,0.6
473,474,2000,Metropolitana,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1.791759469,1,6,0,0.0,0,0.0
474,475,2000,Metropolitana,0,0,1,1,2,0,1,0,2,0,0,1,1,0,2.197224577,1,9,0,0.0,2,0.2222222222222222
475,476,2000,Metropolitana,0,0,0,1,0,0,0,0,0,3,0,1,1,0,1.791759469,1,6,0,0.0,1,0.16666666666666666
476,477,2000,Metropolitana,0,0,0,0,1,0,0,0,0,1,0,1,2,1,1.791759469,1,6,0,0.0,0,0.0
477,478,2000,Metropolitana,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1.609437912,1,5,0,0.0,2,0.4
478,479,2000,Metropolitana,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.098612289,1,3,0,0.0,1,0.3333333333333333
479,480,2000,Metropolitana,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1.791759469,1,6,0,0.0,0,0.0
498,499,2000,Metropolitana,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1.098612289,1,3,0,0.0,0,0.0
499,500,2000,Metropolitana,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361,1,4,2,0.5,2,0.5
500,501,2000,Metropolitana,1,1,0,1,0,0,1,1,3,1,0,1,1,0,2.397895273,1,11,2,0.18181818181818182,3,0.2727272727272727
501,502,2000,Metropolitana,0,0,0,0,1,1,0,2,1,0,1,1,0,0,1.945910149,1,7,0,0.0,0,0.0
502,503,2000,Metropolitana,0,2,1,1,1,1,2,0,1,1,1,1,0,0,2.48490665,1,12,2,0.16666666666666666,4,0.3333333333333333
503,504,2000,Metropolitana,0,1,0,0,0,0,2,0,1,1,1,1,0,0,1.945910149,1,7,1,0.14285714285714285,1,0.14285714285714285
504,505,2000,Metropolitana,1,0,0,1,1,0,0,1,2,1,0,1,0,0,2.079441542,1,8,1,0.125,2,0.25
505,506,2000,Metropolitana,0,0,0,1,0,1,0,1,2,0,1,1,0,0,1.945910149,1,7,0,0.0,1,0.14285714285714285
506,507,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,1,2,0,0.0,0,0.0
507,508,2000,Metropolitana,0,1,0,2,0,2,0,0,0,0,1,1,0,1,2.079441542,1,8,1,0.125,3,0.375
508,509,2000,Metropolitana,0,1,0,2,0,0,1,0,0,0,1,2,1,0,2.079441542,1,8,1,0.125,3,0.375
509,510,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,1,0,0.0,0,0.0
510,511,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,1,2,0,0.0,0,0.0
511,512,2000,Metropolitana,0,0,0,1,0,2,0,0,0,0,0,0,1,2,1.791759469,1,6,0,0.0,1,0.16666666666666666
521,522,2000,Metropolitana,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1.945910149,1,7,0,0.0,2,0.2857142857142857
522,523,2000,Metropolitana,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806,1,2,0,0.0,0,0.0
523,524,2000,Metropolitana,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1.386294361,1,4,0,0.0,1,0.25
524,525,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,1,2,0,0.0,0,0.0
