,i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural,total,under_4,frac_under_4,under_9,frac_under_9
0,1,2000,Metropolitana,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1.386294361,0,4,1,0.25,1,0.25
1,2,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.098612289,0,3,0,0.0,0,0.0
2,3,2000,Metropolitana,0,0,0,0,2,0,0,0,1,0,1,1,1,0,1.791759469,0,6,0,0.0,0,0.0
3,4,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,0,0.0,0,0.0
4,5,2000,Metropolitana,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.098612289,0,3,0,0.0,1,0.3333333333333333
5,6,2000,Metropolitana,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1.609437912,0,5,2,0.4,2,0.4
6,7,2000,Metropolitana,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1.098612289,0,3,0,0.0,0,0.0
7,8,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.098612289,0,3,0,0.0,0,0.0
8,9,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,0,2,0,0.0,0,0.0
9,10,2000,Metropolitana,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1.609437912,0,5,1,0.2,1,0.2
10,11,2000,Metropolitana,0,0,0,0,0,1,1,0,2,0,0,1,1,0,1.791759469,0,6,0,0.0,0,0.0
11,12,2000,Metropolitana,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1.386294361,0,4,0,0.0,0,0.0
12,13,2000,Metropolitana,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1.098612289,0,3,0,0.0,0,0.0
13,14,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.6931471806,0,2,0,0.0,0,0.0
14,15,2000,Metropolitana,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1.609437912,0,5,0,0.0,0,0.0
15,16,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,0,0.0,0,0.0
16,17,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,0,0.0,0,0.0
17,18,2000,Metropolitana,1,1,0,1,0,0,0,0,3,1,0,0,1,2,2.302585093,0,10,2,0.2,3,0.3
18,19,2000,Metropolitana,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6931471806,0,2,0,0.0,1,0.5
19,20,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,0,2,0,0.0,0,0.0
20,21,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6931471806,0,2,0,0.0,0,0.0
21,22,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,1,0,0.0,0,0.0
22,23,2000,Metropolitana,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361,0,4,2,0.5,2,0.5
23,24,2000,Metropolitana,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1.386294361,0,4,2,0.5,2,0.5
24,25,2000,Metropolitana,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6931471806,0,2,0,0.0,0,0.0
25,26,2000,Metropolitana,0,0,0,0,0,0,0,1,0,2,0,1,1,0,1.609437912,0,5,0,0.0,0,0.0
