j,Agua,Energía,Proteina,Grasa Total,Carbo-hidratos,Fibra Diet. total,Ceniza,Calcio,Fosforo,Hierro,Tiamina,Riboﬂavina,Niacina,Vit. C,Vit. A Equiv. Retinol,Ác. grasos mono-insat.,Ác. grasos poli-insat.,Ác. Grasos saturados,Colesterol,Potasio,Sodio,Zinc,Magnesio,Vit. B6,Vit. B12,Ac. Fólico,Folato Equiv. FD,Fracción Comestible
Atol de Maiz,0,376,3.35,0.7,89.2,,2.15,230,190,5,0.55,0.2,3,35,180,,,,,80,590,,,0.25,0.6,20,,1
Carne de Cerdo,72.23,143,21.43,5.66,0,0,1.05,17,211,0.84,0.99,0.27,4.91,1,2,2.56,0.61,1.95,59,389,52,1.84,23,0.53,0.63,0,5,0.7
Carne de Cerdo con Hueso,59.39,282,16.12,23.58,0,0,0.91,32,143,0.91,0.58,0.26,4.57,0,3,10.65,1.96,8.73,81,233,75,2.31,16,0.4,0.82,0,4,0.62
Chicharrones de Cerdo,2.9,660,20.8,56.1,16.8,,3.4,61,149,2.8,0.03,0.2,3.8,0,,13.7,3.61,14.32,74,,,,,,,,,1
Chiles,77.9,84,3.3,2.1,15.4,,1.3,48,85,6.3,0.15,0.1,2.87,61,,,,,,,,,,,,,,1
Chocolate,1.5,535,7.65,29.66,59.4,3.4,1.78,189,208,2.35,0.11,0.3,0.39,0,49,13.21,0.85,14.23,23,372,79,2.01,63,0.04,0.62,0,11,1
Corn Flakes,3,367,3.3,0.52,90.3,3.2,2.88,5,34,14.5,1.2,1.5,16.2,20,517,0.09,0.3,0.17,0,73,479,0.18,8,1.6,5,308,543,1
Galletas,5.03,428,9.22,11.35,70.91,3,3.49,68,101,5.64,0.09,0.45,5.25,0,0,7,1.25,1.66,0,154,1072,0.83,22,0.09,0,108,215,1
Guisquil,90.8,31,0.9,0.2,7.7,1.7,0.4,12,30,0.6,0.03,0.04,0.4,20,3,0.01,0.06,0.03,0,125,2,0.74,,0.08,0,0,93,0.77
Harina de Maiz,11.6,366,8.5,1.7,77.7,7.4,0.6,110,84,2.9,0.44,0.26,3.53,0,662,,,,,162,3,0.7,40,0.3,0,,,1
Harina de Trigo,11.92,364,10.33,0.98,76.31,2.7,0.47,15,108,4.64,0.79,0.49,5.9,0,0,0.09,0.41,0.16,0,107,2,0.7,22,0.04,0,154,291,1
Incaparina,7.24,368,20.7,2,68,,4.5,305,,20,1.2,1.3,16,,1350,,,,,,,15,,,1.01,187,,1
Maiz,60.6,161,3.6,1.4,33.5,,0.9,16,270,2,0.18,0.08,2.9,11,28,0.44,0.69,0.23,0,270,15,0.45,,0.06,0,46,,0.28
Mangos,83.5,59,0.5,0.2,15.4,1.8,0.4,12,12,0.8,0.05,0.06,0.4,53,38,0.1,0.05,0.07,0,156,2,0.04,,0.13,0,0,14,0.53
Masa de Maiz Fresca,11.6,366,8.5,1.7,77.7,7.4,0.6,110,84,2.9,0.44,0.26,3.53,0,662,,,,,162,3,0.7,40,0.3,0,,,1
Paches,0,94,2.86,4.88,10.71,1.21,0.71,22,40,0.79,0.08,0.04,1.51,14,16,1.86,0.86,1.49,8,338,10,0.42,19,0.19,0.02,11,,1
Pan Dulce,16.6,377,6.9,9.8,65.4,,1.3,51,182,4.6,0.13,0.18,0.42,0,1,,,,,,,,,,,,,1
Pan Frances,16.4,317,11.7,2.1,67.5,4.7,2.3,,,,,,,,,,,,,,,,,,,,,1
Pan de Rodaja,36.44,266,7.64,3.29,50.61,2.4,2.03,151,99,3.74,0.46,0.33,4.39,0,0,0.68,1.36,0.72,0,100,681,0.74,23,0.08,0,86,171,1
Papaya,93,24,0.8,0.2,5.4,,0.6,12,14,0.5,0.02,0.03,1,47,,,,,,,,,,,,,,0.75
Pasteles,10,370,2.4,2,85.5,,0.1,14,43,1.5,0.01,0.06,0.3,0,52,,,,,,,,,,,,,1
Tamales de Maiz,0,128,1.99,3.31,23,0,0.68,11,63,0.56,0.09,0.07,0.73,10,190,1.4,1.2,0.64,0,2,39,0,0,0,0,0,,1
Tortillas,48.8,194,5,1.5,43.8,,0.9,100,187,3.1,0.08,0.06,1.26,0,,,,,,,,,,,,,,1
