i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99
1,2000,Metropolitana,0,1,0,0,0,0,0,0,1,1,0,1,0,0
2,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,0,1,1
3,2000,Metropolitana,0,0,0,0,2,0,0,0,1,0,1,1,1,0
4,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,2000,Metropolitana,0,0,1,0,0,0,0,0,0,0,1,1,0,0
6,2000,Metropolitana,1,1,0,0,0,0,0,1,0,0,0,1,0,1
7,2000,Metropolitana,0,0,0,0,0,0,1,0,0,0,0,1,0,1
8,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,1,1
9,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
10,2000,Metropolitana,1,0,0,0,0,0,0,0,0,0,1,1,1,1
11,2000,Metropolitana,0,0,0,0,0,1,1,0,2,0,0,1,1,0
12,2000,Metropolitana,0,0,0,0,0,1,0,0,0,0,2,1,0,0
13,2000,Metropolitana,0,0,0,0,0,0,1,0,0,0,0,0,0,2
14,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,1,0,1
15,2000,Metropolitana,0,0,0,0,0,1,0,0,1,1,1,1,0,0
16,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,2000,Metropolitana,1,1,0,1,0,0,0,0,3,1,0,0,1,2
19,2000,Metropolitana,0,0,0,1,0,0,0,0,0,0,0,1,0,0
20,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
21,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,2
22,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,2000,Metropolitana,2,0,0,0,0,0,0,0,1,1,0,0,0,0
24,2000,Metropolitana,0,2,0,0,0,0,0,0,0,1,0,1,0,0
25,2000,Metropolitana,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26,2000,Metropolitana,0,0,0,0,0,0,0,1,0,2,0,1,1,0
27,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,1,1,0
28,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
29,2000,Metropolitana,0,0,1,0,0,0,0,0,2,1,0,0,0,1
30,2000,Metropolitana,0,1,0,0,1,0,0,0,1,1,0,0,0,0
31,2000,Metropolitana,1,0,0,0,0,0,0,0,0,1,0,0,0,1
32,2000,Metropolitana,0,0,0,1,1,1,0,0,0,0,1,1,0,0
33,2000,Metropolitana,0,1,0,0,0,0,0,0,1,1,0,0,0,0
34,2000,Metropolitana,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,2000,Metropolitana,1,0,0,1,0,0,0,0,0,1,1,0,0,0
37,2000,Metropolitana,1,0,0,2,0,0,0,0,1,1,0,0,0,0
38,2000,Metropolitana,0,0,0,2,0,0,0,0,0,1,1,0,0,0
39,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
40,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,0,1,1
41,2000,Metropolitana,1,0,0,1,0,0,0,0,1,1,0,0,0,0
42,2000,Metropolitana,0,0,0,0,1,0,0,0,0,0,2,1,0,0
43,2000,Metropolitana,0,1,0,0,1,1,0,0,0,1,1,0,0,0
44,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
45,2000,Metropolitana,1,0,1,1,0,0,0,0,0,1,1,0,0,0
46,2000,Metropolitana,0,0,1,0,0,0,0,0,0,0,1,1,0,0
47,2000,Metropolitana,0,0,0,0,0,0,0,0,2,1,0,0,0,1
48,2000,Metropolitana,0,0,2,0,0,0,0,0,0,0,1,1,0,0
49,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,2000,Metropolitana,1,0,2,0,0,0,0,0,1,1,0,0,0,1
51,2000,Metropolitana,0,0,0,1,0,1,2,0,0,0,0,1,1,0
52,2000,Metropolitana,0,0,0,0,2,0,0,1,0,0,2,1,1,1
53,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,1,0,0,0
54,2000,Metropolitana,0,0,0,1,1,0,0,1,0,0,1,1,0,0
55,2000,Metropolitana,0,0,0,0,1,0,1,1,0,0,0,0,0,1
56,2000,Metropolitana,0,0,0,1,0,0,0,0,1,1,0,0,0,0
57,2000,Metropolitana,0,0,0,0,1,0,0,0,0,0,1,1,0,0
58,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,1,1,1
59,2000,Metropolitana,0,0,0,0,0,0,0,1,0,0,0,0,1,1
60,2000,Metropolitana,0,0,0,0,0,0,0,1,0,0,0,1,0,0
61,2000,Metropolitana,0,1,0,0,0,0,0,0,1,1,0,0,0,0
62,2000,Metropolitana,0,0,0,0,0,1,0,1,0,0,1,1,0,0
63,2000,Metropolitana,1,0,0,0,0,0,0,0,0,1,1,0,0,0
64,2000,Metropolitana,1,0,0,0,0,0,0,0,0,1,0,0,0,0
65,2000,Metropolitana,0,0,0,0,1,0,1,1,0,0,1,1,0,0
66,2000,Metropolitana,0,0,0,0,0,0,0,1,1,0,0,1,0,0
67,2000,Metropolitana,0,0,1,0,1,0,0,0,0,0,0,1,0,0
68,2000,Metropolitana,1,0,0,0,0,0,0,0,0,0,1,1,0,0
69,2000,Metropolitana,0,0,0,0,1,0,0,1,0,0,1,1,0,0
70,2000,Metropolitana,0,0,0,0,0,0,0,0,2,0,0,1,1,0
71,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,0,1,1
72,2000,Metropolitana,0,1,0,0,0,0,0,0,1,1,0,0,0,0
73,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1
74,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,0,0,0,2
