i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural
1,2000,Metropolitana,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1.386294361,0
2,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.098612289,0
3,2000,Metropolitana,0,0,0,0,2,0,0,0,1,0,1,1,1,0,1.791759469,0
4,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,2000,Metropolitana,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.098612289,0
6,2000,Metropolitana,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1.609437912,0
7,2000,Metropolitana,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1.098612289,0
8,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.098612289,0
9,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,0
10,2000,Metropolitana,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1.609437912,0
11,2000,Metropolitana,0,0,0,0,0,1,1,0,2,0,0,1,1,0,1.791759469,0
12,2000,Metropolitana,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1.386294361,0
13,2000,Metropolitana,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1.098612289,0
14,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.6931471806,0
15,2000,Metropolitana,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1.609437912,0
16,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,2000,Metropolitana,1,1,0,1,0,0,0,0,3,1,0,0,1,2,2.302585093,0
19,2000,Metropolitana,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6931471806,0
20,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,0
21,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6931471806,0
