i,t,m,Avocado,Bananas,Beans,Beef,Beef Entrails,Beer,Beets,Bread (french),Bread (sliced),Bread (sweet),Brown Sugar,Butter,Cabbages,Cakes,Candies,Carrots,Celery,Chayote,Chicken,Chicken Giblets,Chilies,Chocolate,Cigarettes,Coffee (instant),Cookies,Cooking Oil,Corn Atole,Corn Dough (fresh(,Corn Flakes,Corn Tamales,Cornmeal,Crema Fresca,Cucumbers,Dried Fruit,Dried Seeds,Eggs,Fish (Canned),Fish (Fresh),Garlic,Granulated Sugar,Herbs,"Honey, Molasses",Ice Cream,Incaparina,Infant Formula,Jam,Juice (Branded),Juices (Packaged),Lard,Leafcutter Ants and Other Insect,Lemons,Lettuce,Liquor,Maize,Mangos,Margarine,Melons,Milk,Milk (condensed),Milk (powdered),Mineral Water,Mushrooms,Onions,Oranges,Other,Other Atoles,Other Canned Goods,Other Sauces,Paches,Papaya,Pasta,Peas,Pineapples,Pork,Pork (cracklings),Potatoes,Pumpkin,Queso,Rice,Rolled Oats,Rural,Salt,Sausages,Soup,Spices,Sweets,Tea,Tomato Sauce,Tomatoes,Tortillas,Tostadas,Vegetable Oil,Water (bottle),Watermelon,Wheat Flour,Yogurt,Yucca
1,2000,Metropolitana,1.6094379124341003,2.6390573296152584,1.6094379124341003,5.8289456176102075,,,,3.4011973816621555,,3.4011973816621555,,,,,,1.280933819073175,0.6931471805599453,0.6931471805599453,3.8066624897703196,3.044522437723423,0.0,,,,,2.0149030205422647,,,2.9444389791664403,3.1135153092103742,,2.5649493574615367,1.0986122886681098,,,2.6390573296152584,,,0.0,,0.0,,,1.5040773967762742,,,,,,,1.0986122886681098,0.6931471805599453,,,,1.6094379124341003,1.6094379124341003,2.995732273553991,,,1.791759469228055,,0.6931471805599453,2.302585092994046,,,,,,1.252762968495368,2.0794415416798357,,1.0986122886681098,2.6390573296152584,,2.302585092994046,,1.3862943611198906,1.6094379124341003,1.791759469228055,,0.0,,,0.0,0.0,1.9459101490553132,1.5040773967762742,2.1972245773362196,4.0943445622221,,,2.995732273553991,,,,
2,2000,Metropolitana,1.3862943611198906,2.3513752571634776,2.0149030205422647,5.298317366548036,,,2.1972245773362196,3.1135153092103742,,3.1135153092103742,,,,,,-0.6931471805599453,0.0,1.0986122886681098,3.7376696182833684,,1.0986122886681098,,,2.772588722239781,,,,,3.1354942159291497,2.8903717578961645,,3.295836866004329,4.143134726391533,,,4.143134726391533,,,,,1.3862943611198906,,,,,,,,,,0.6931471805599453,0.6931471805599453,,,,1.6094379124341003,,,,,,,1.3862943611198906,1.6094379124341003,,,,,,,1.280933819073175,1.0986122886681098,0.9162907318741551,,,1.3862943611198906,,2.5257286443082556,2.8903717578961645,,,-0.6931471805599453,,,,,,,2.4849066497880004,3.1135153092103742,,,2.995732273553991,,,,1.3862943611198906
3,2000,Metropolitana,2.995732273553991,3.258096538021482,2.70805020110221,6.246106765481563,,3.4011973816621555,,4.653960350157523,,3.4011973816621555,,,,,,,1.0986122886681098,,3.4011973816621555,,1.6094379124341003,,,,,3.58351893845611,,,3.1759683555897005,,,,1.791759469228055,,1.5040773967762742,1.9740809994942317,,,1.791759469228055,3.2088254890146994,,,,,,,2.302585092994046,,,,2.70805020110221,1.3862943611198906,,,,,,,,,2.4849066497880004,,2.995732273553991,,,,,,2.70805020110221,2.302585092994046,,,,,3.4011973816621555,1.3217558399823195,,,3.624340932976365,,,-0.22314353643920984,,2.70805020110221,,2.302585092994046,,,3.4011973816621555,3.8066624897703196,,,,3.624340932976365,,,
5,2000,Metropolitana,2.0149030205422647,3.1780538303479458,1.791759469228055,5.575949103146316,,,,3.5409593240373143,,0.4700036442457355,,,,,4.605170185988092,0.9162907318741551,1.6094379124341003,,2.70805020110221,2.70805020110221,2.4849066497880004,,,,,2.772588722239781,,,2.995732273553991,,,2.6390573296152584,1.0986122886681098,,,,,3.5553480614894135,,,2.1972245773362196,,,2.1972245773362196,4.564348191467836,,,,,,1.3862943611198906,1.791759469228055,,,,,1.0986122886681098,4.31748811353631,,,2.302585092994046,2.772588722239781,1.6094379124341003,2.995732273553991,,,,,,1.0986122886681098,2.1400661634962708,,,,,,,,1.5040773967762742,,,,5.231108616854587,,,,,2.70805020110221,2.302585092994046,3.4011973816621555,,,2.302585092994046,1.6094379124341003,,,
6,2000,Metropolitana,,1.3862943611198906,,,,,,4.499809670330265,,4.90527477843843,,,,,,,,,2.995732273553991,,,,,,,,,,,,,,,,,,2.1972245773362196,,,3.2386784521643803,,,,,4.605170185988092,,2.302585092994046,,,,,,,,,,,,,3.1780538303479458,4.499809670330265,,0.6931471805599453,,,,,,,,1.335001054100761,,,,,2.70805020110221,,2.1972245773362196,3.4011973816621555,,,,,,,,,,1.791759469228055,2.70805020110221,,,2.995732273553991,,,1.1786549963416462,
7,2000,Metropolitana,,,2.1972245773362196,4.02535169073515,,,,4.324132656254979,,3.624340932976365,,,,,,,,,3.4011973816621555,,,,,,,,,,,,,,,,,,,,,2.803360380906535,0.6931471805599453,,,,,,,,,,,,,,,2.1972245773362196,,2.4849066497880004,,,,,2.0794415416798357,0.0,,,,,,,,,,,,2.4849066497880004,,,2.0794415416798357,,,0.0,,,,,,,2.772588722239781,3.1135153092103742,,,,,,,
8,2000,Metropolitana,2.302585092994046,4.276666119016055,1.6094379124341003,5.4638318050256105,2.370243723710851,,1.6094379124341003,2.70805020110221,,2.70805020110221,,,,,,1.791759469228055,0.6931471805599453,0.6931471805599453,4.143134726391533,,,2.302585092994046,,0.9162907318741551,,2.8903717578961645,,,,,,3.4339872044851463,2.4849066497880004,,1.6094379124341003,2.70805020110221,,,0.4054651081081644,2.6026896854443837,2.0149030205422647,,,1.0986122886681098,,,2.1972245773362196,,,,1.0986122886681098,1.791759469228055,,1.8325814637483102,,1.0986122886681098,,,,4.0163830207523885,2.1972245773362196,,1.0986122886681098,1.791759469228055,,,,,3.1780538303479458,3.1780538303479458,1.1786549963416462,,,,,0.9162907318741551,,3.1780538303479458,1.6094379124341003,2.302585092994046,,1.0986122886681098,1.6094379124341003,1.252762968495368,2.8903717578961645,,1.791759469228055,,3.2188758248682006,3.6888794541139363,1.4469189829363254,,2.995732273553991,,,,1.0986122886681098
9,2000,Metropolitana,1.6094379124341003,3.828641396489095,1.6094379124341003,5.545177444479562,,,,2.6672281801930655,,1.9740809994942317,,,-0.2876820724517809,,,0.6931471805599453,0.0,1.3862943611198906,3.8066624897703196,,1.3862943611198906,,,,1.749199854809259,2.6390573296152584,1.6094379124341003,,,2.70805020110221,,2.277267285009756,,2.6390573296152584,2.302585092994046,2.0149030205422647,2.1804175020706844,,0.6931471805599453,2.104134130977524,0.6931471805599453,,2.6390573296152584,,,,2.4849066497880004,,,,0.6931471805599453,1.0986122886681098,,,,2.9444389791664403,,3.1966302470047254,2.5257286443082556,,,,1.3862943611198906,,,,,,,2.302585092994046,1.3862943611198906,0.6931471805599453,,,,1.3862943611198906,,,0.6931471805599453,,,-0.6931471805599453,1.9459101490553132,,1.3862943611198906,2.4849066497880004,,,2.0794415416798357,2.4849066497880004,1.9740809994942317,,2.1400661634962708,,,,
10,2000,Metropolitana,3.4011973816621555,3.58351893845611,2.302585092994046,5.762051382780177,3.4011973816621555,3.1780538303479458,,4.430816798843313,2.0794415416798357,2.3513752571634776,,,0.0,,2.4849066497880004,2.0149030205422647,0.6931471805599453,0.0,2.821378841171117,2.5257286443082556,1.3862943611198906,,,,,2.70805020110221,,,,,,2.3978952727983707,1.3862943611198906,1.3862943611198906,2.302585092994046,3.2771447329921766,3.1780538303479458,3.4011973816621555,0.6931471805599453,3.1945831167253855,0.0,2.6390573296152584,,1.8325814637483102,3.8066624897703196,,2.302585092994046,2.5257286443082556,,,1.3862943611198906,2.8903717578961645,,,0.6931471805599453,2.70805020110221,,3.871201010907891,,,,2.995732273553991,0.9162907318741551,0.9162907318741551,,,1.6094379124341003,2.322387701662774,,2.4849066497880004,2.0149030205422647,,2.302585092994046,2.8903717578961645,,1.791759469228055,,3.258096538021482,2.302585092994046,,,0.0,3.4011973816621555,,1.7047480922384253,1.0986122886681098,2.1400661634962708,1.252762968495368,2.6390573296152584,3.4011973816621555,,,2.70805020110221,2.70805020110221,1.3862943611198906,,
11,2000,Metropolitana,1.791759469228055,3.258096538021482,1.791759469228055,3.6888794541139363,,,,4.653960350157523,,3.7013019741124933,,,0.6931471805599453,,,1.791759469228055,,,3.912023005428146,,1.6094379124341003,2.3978952727983707,,2.772588722239781,3.7376696182833684,,,,1.3862943611198906,,,3.4011973816621555,,,,3.6375861597263857,2.5257286443082556,,,,2.3978952727983707,2.6741486494265287,1.9459101490553132,,,2.1972245773362196,2.302585092994046,,,,1.3862943611198906,1.3862943611198906,,,,,,4.382026634673881,,,1.8718021769015913,,1.9459101490553132,2.1972245773362196,,,,,,1.6094379124341003,2.302585092994046,,,,,2.4849066497880004,,3.2188758248682006,1.6094379124341003,1.7227665807768175,,0.4054651081081644,3.912023005428146,,1.3862943611198906,,,2.041220304054443,2.70805020110221,2.0794415416798357,,,,,,,
