j,2000,Code,Nutrient,Agua,Energía,Proteina,Grasa Total,Carbo-hidratos,Fibra Diet. total,Ceniza,Calcio,Fosforo,Hierro,Tiamina,Riboﬂavina,Niacina,Vit. C,Vit. A Equiv. Retinol,Ác. grasos mono-insat.,Ác. grasos poli-insat.,Ác. Grasos saturados,Colesterol,Potasio,Sodio,Zinc,Magnesio,Vit. B6,Vit. B12,Ac. Fólico,Folato Equiv. FD,Fracción Comestible
Cooking Oil,aceites comestibles,16029,ACEITE VEGETAL FORTIFICADO (PL 480),0,884,0,100,0,0,0,0,0,0.02,0,0,0,0,1802,0,0,0,0,0,0,0,0,0,0,0,0,1
Chicken Giblets,visceras de pollo o gallina,3046,"POLLO, VISCERAS O MENUDOS, CRUDOS",69.8,168,17.89,9.21,2.13,0,0.97,10,198,5.93,0.1,1.11,8.53,11,3152,2.75,2.1,2.63,240,226,77,3.01,18,0.52,10.83,0,350,1
Avocado,aguacate,11005,AGUACATE,73.23,160,2,14.66,8.53,6.7,1.58,12,52,0.55,0.07,0.13,1.74,10,7,9.8,1.82,2.13,0,485,7,0.64,29,0.26,0,0,81,0.74
Mineral Water,aguas gaseosas,17016,"BEBIDA GASEOSA O CARBONATADA,  NO COLAS",87.6,48,0,0,12.3,0,0.1,5,1,0.06,0,0,0,0,0,0,0,0,0,2,12,0.1,1,0,0,0,0,1
Garlic,ajo,11006,"AJO, CABEZA O BULBO",63.8,134,5.3,0.2,29.3,0,1.4,38,134,1.4,0.21,0.08,0.6,9,0,0.01,0.23,0.09,0,529,19,1,0,0,0,3,0,0.94
Mushrooms,anacate y otros hongos,11095,HONGOS CRUDOS,92.43,22,3.09,0.34,3.28,1,0.85,3,86,0.5,0.08,0.4,3.61,2,0,0,0.16,0.05,0,318,5,0.52,9,0.1,0.04,0,16,0.97
Celery,apio,11010,"APIO, TALLOS",95.43,14,0.69,0.17,2.97,1.6,0.75,40,24,0.2,0.02,0.06,0.32,3,22,0.03,0.08,0.04,0,260,80,0.13,11,0.07,0,0,36,0.89
Rice,arroz,13006,ARROZ INTEGRAL,12.37,362,7.5,2.68,76.17,3.4,1.27,33,264,1.8,0.41,0.04,4.31,0,0,0.97,0.96,0.54,0,268,4,2.02,143,0.51,0,0,20,1
Peas,arveja,9001,"ARVEJA, GRANO SECO",11.27,341,24.55,1.16,60.37,25.5,2.65,55,366,4.43,0.73,0.22,2.89,2,7,0.24,0.5,0.16,0,981,15,3.01,115,0.17,0,0,274,1
Corn Atole,atol de maiz,17068,"ATOL DE MAÍZ,  POLVO (CEREVITA)",0,376,3.35,0.7,89.2,0,2.15,230,190,5,0.55,0.2,3,35,180,0,0,0,0,80,590,0,0,0.25,0.6,20,0,1
Pumpkin,"ayote, xilacayote",10015,"SEMILLA DE AYOTE, CRUDA",6.92,541,24.54,45.85,17.81,3.9,4.88,43,1174,14.97,0.21,0.32,1.75,2,19,14.26,20.9,8.67,0,807,18,7.46,535,0.22,0,0,58,0.74
Granulated Sugar,azucar granulada,15001,"AZÚCAR BLANCA, GRANULADA",0.7,384,0,0,99.1,0,0.2,5,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Coffee (instant),"cafe en grano,  molido instantaneo",17041,"CAFÉ INSTANTÁNEO, POLVO",3.1,241,12.2,0.5,41.1,0,8.8,141,303,4.41,0.01,0.07,28.17,0,0,0.04,0.2,0.2,0,3535,37,0.35,327,0.03,0,0,0,1
Pork,carne de cerdo,4002,"CERDO, CARNE MAGRA, CRUDA",72.23,143,21.43,5.66,0,0,1.05,17,211,0.84,0.99,0.27,4.91,1,2,2.56,0.61,1.95,59,389,52,1.84,23,0.53,0.63,0,5,0.7
Chicken,carne de pollo o gallina,3014,"POLLO, ALAS C/PIEL, CRUDAS",66.21,222,18.33,15.97,0,0,0.69,12,132,0.95,0.05,0.09,5.93,1,44,6.35,3.39,4.48,77,156,73,1.33,18,0.35,0.32,0,4,0.54
Beef,carne de res,5021,"RES, CARNE MAGRA, CRUDA",72.15,126,22.03,3.5,0,0,1.06,4,215,2.15,0.11,0.19,4.02,0,0,1.48,0.15,1.2,58,375,57,3.51,25,0.51,2.98,0,9,0.83
Onions,cebolla,11036,"CEBOLLA, CABEZA",88.1,45,1.4,0.2,9.7,0,0.6,30,40,1,0.04,0.03,0.3,10,0,0.04,0.1,0.04,0,157,10,0.1,0,0.16,0,20,0,0.91
Beer,cerveza,17010,"BEBIDA ALCOHÓLICA, CERVEZA REGULAR",91.96,43,0.46,0,3.55,0,0.16,4,14,0.02,0,0.03,0.51,0,0,0,0,0,0,27,4,0.01,6,0.05,0.02,0,6,1
Pork (cracklings),chicharrones de cerdo,4012,"CERDO, CHICHARRONES",2.9,660,20.8,56.1,16.8,0,3.4,61,149,2.8,0.03,0.2,3.8,0,0,13.7,3.61,14.32,74,0,0,0,0,0,0,0,0,1
Chilies,chiles,11057,CHILE CHILTEPE,77.9,84,3.3,2.1,15.4,0,1.3,48,85,6.3,0.15,0.1,2.87,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Beef Entrails,viceras de res,5035,"RES, INTESTINOS",69.2,220,11,19.1,0,0,0.7,12,110,1.8,0.04,0.16,2,0,53,1.31,1.1,15,150,270,46,2.47,8,0,0.1,2,0,0.95
Chocolate,chocolate,15009,CHOCOLATES C/LECHE (GOLOSINA),1.5,535,7.65,29.66,59.4,3.4,1.78,189,208,2.35,0.11,0.3,0.39,0,49,13.21,0.85,14.23,23,372,79,2.01,63,0.04,0.62,0,11,1
Spices,condimentos y especias,22010,"CONDIMENTO CURRY, POLVO",9.52,325,12.66,13.81,58.15,33.2,5.57,478,349,29.59,0.25,0.28,3.47,11,49,5.55,2.56,2.24,0,1543,52,4.05,254,1.15,0,0,154,1
Corn Flakes,corn flakes,13021,"CEREAL DESAYUNO, ZUCARITAS DE MAÍZ",3,367,3.3,0.52,90.3,3.2,2.88,5,34,14.5,1.2,1.5,16.2,20,517,0.09,0.3,0.17,0,73,479,0.18,8,1.6,5,308,543,1
Crema Fresca,crema fresca,1002,"CREMA, RALA",73.75,195,2.7,19.31,3.66,0,0.58,96,80,0.04,0.03,0.15,0.06,1,181,5.58,0.72,12.02,66,122,40,0.27,9,0.03,0.22,0,2,1
Candies,dulces,15006,"CARAMELOS O CONFITES, DUROS",1.3,394,0,0.2,98,0,0.5,3,3,0.3,0,0,0.01,0,0,0,0,0,0,5,38,0.01,3,0,0,0,0,1
Sausages,embutidos,7003,CHORIZO DE CERDO,56.1,278,15.8,22.8,1.1,0,4.2,41,130,4.1,0.21,0.17,3.03,1,0,9.5,2.5,7.1,89,160,2505,2.3,0,0.22,0.01,0,0,0.98
Pasta,"fideos, tallarines, coditos etc.",13073,"PASTA ENLATADA, MACARRONES  C/QUESO",81.39,82,3.38,2.46,11.52,0.5,1.25,35,47,0.9,0.1,0.11,1.18,0,17,0.6,0.3,0.88,6,84,421,0.45,9,0.04,0.15,11,22,1
Beans,frijol,9017,"FRIJOL TODA VARIEDAD, GRANO SECO",11.75,333,23.58,0.83,60.01,24.9,3.83,143,407,8.2,0.53,0.22,2.06,5,0,0.06,0.46,0.12,0,1406,24,2.79,140,0.4,0,0,394,1
Dried Fruit,frutas secas,12147,"UVA, FRUTA SECA O PASA",15.43,299,3.07,0.46,79.18,3.7,1.85,50,101,1.88,0.11,0.13,0.77,2,0,0.05,0.04,0.06,0,749,11,0.22,32,0.17,0,0,5,1
