j,u,Central,Metropolitana,Noroccidente,Nororiente,Norte,Peten,Suroccidente,Suroriente
Cooking Oil,lbs,5.010737261,5.368647065,4.545454447,4.563468033,5.368647065,4.999999892,3.86363628,5.368647065
Water (bottle),lbs,0.4545454447,0.2405002401,0.2405002401,0.2645502553,0.2405002401,0.3006252964,0.2457002404,0.2886002882
Avocado,lbs,1.865671595,3.544776031,1.492537276,3.731343191,1.492537276,1.492537276,1.492537276,2.985074553
Mineral Water,lbs,2.75077949,2.731270434,3.209242684,3.209242684,3.209242684,3.85109122,3.209242684,3.209242684
Garlic,lbs,4.54545457,4.54545457,4.54545457,9.09090914,3.787878808,9.09090914,4.54545457,4.54545457
Mushrooms,lbs,12,26,7,10,4,5,10,12
Celery,lbs,2.262489754,3,2.265861026,2.5,2,3,2.5,2.670231683
Rice,lbs,2.5,2.5,2.25,2.5,2.5,2.5,2.239999962,2.5
Peas,lbs,3,6,2.5,8,2.5,4,4,5
Corn Atole,lbs,1.801801779,2.702702668,1.801801779,2.162162134,1.801801779,1.801801779,1.801801779,2.477477446
Pumpkin,lbs,0.45248868,0.45248868,0.282805425,0.45248868,0.22624434,0.33936651,0.282805425,0.22624434
Granulated Sugar,lbs,1.75,1.75,1.75,1.8,1.800000032,2,1.75,1.800000032
Coffee (instant),lbs,8,16,5,11.36363643,9.297520712,11.36363643,7,10
Pork,lbs,14,15,10,15,12,12,12,14
Chicken,lbs,7.5,7.5,7.5,7,7,6.5,7,7.5
Beef,lbs,39,34,24,36,26,30.83333333,34,38
Onions,lbs,2.5,2.5,2,3,2,2.5,2,2.5
Beer,lbs,6.418485367,6.418485367,7.381258172,7.702182441,6.418485367,8.985879514,6.418485367,7.702182441
Pork (cracklings),lbs,20,24.19354878,18,22,16,18,20,24
Chilies,lbs,4.03225813,4,10,4,8,4,8,4
Chocolate,lbs,5,6,5,8,6,7,5,6
Cigarettes,lbs,8,7.5,8,7.75,8,8,8,7.5
Spices,lbs,17.85714231,20.83333315,12.24489828,19.23076883,19.23076883,22.72727285,12.91666681,16.66666675
